,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
459,Beto Pereira,PSDB,01/01/19,"1092,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
460,Beto Pereira,PSDB,01/01/19,"1456,97",TELEFONIA
461,Geraldo Resende,PSDB,01/01/19,"1,4",TELEFONIA
462,Beto Pereira,PSDB,01/01/20,"5548,97",COMBUSTÍVEIS E LUBRIFICANTES.
463,Bia Cavassa,PSDB,01/01/20,"1568,78",COMBUSTÍVEIS E LUBRIFICANTES.
464,Rose Modesto,PSDB,01/01/20,"339,08000000000004",COMBUSTÍVEIS E LUBRIFICANTES.
465,Bia Cavassa,PSDB,01/01/20,"11100,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
466,Beto Pereira,PSDB,01/01/20,"41,86",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
467,Beto Pereira,PSDB,01/01/20,"636,0","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL."
468,Beto Pereira,PSDB,01/01/20,"8950,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
469,Beto Pereira,PSDB,01/01/20,"2053,92",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
470,Bia Cavassa,PSDB,01/01/20,"1708,41",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
471,Rose Modesto,PSDB,01/01/20,"5830,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
472,Rose Modesto,PSDB,01/01/20,"1111,65",PASSAGEM AÉREA - REEMBOLSO
473,Beto Pereira,PSDB,01/01/20,"331,17",PASSAGEM AÉREA - RPA
474,Bia Cavassa,PSDB,01/01/20,"1514,06",PASSAGEM AÉREA - RPA
475,Beto Pereira,PSDB,01/01/20,"-1059,67",PASSAGEM AÉREA - SIGEPA
476,Beto Pereira,PSDB,01/01/20,"2226,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
477,Rose Modesto,PSDB,01/01/20,"64,58",SERVIÇOS POSTAIS
478,Beto Pereira,PSDB,01/01/20,"601,04",TELEFONIA
479,Bia Cavassa,PSDB,01/01/20,"164,86",TELEFONIA
480,Beto Pereira,PSDB,01/01/21,"4078,12",COMBUSTÍVEIS E LUBRIFICANTES.
481,Bia Cavassa,PSDB,01/01/21,"2603,25",COMBUSTÍVEIS E LUBRIFICANTES.
482,Rose Modesto,PSDB,01/01/21,"2213,1",COMBUSTÍVEIS E LUBRIFICANTES.
483,Beto Pereira,PSDB,01/01/21,"13310,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
484,Bia Cavassa,PSDB,01/01/21,"12054,84",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
485,Rose Modesto,PSDB,01/01/21,"6000,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
486,Beto Pereira,PSDB,01/01/21,"81,0",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
487,Beto Pereira,PSDB,01/01/21,"546,0","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL."
